longitude;latitude;depth
9.74131;52.352997;0
9.741303;52.352999;0
9.741277;52.353011;0
9.741249;52.353026;0
9.741226;52.353042;0
9.7412;52.353068;0
9.741185;52.353083;0
9.741167;52.353094;0
9.741142;52.353107;0
9.741134;52.35311;0
9.741117;52.353116;0
9.74109;52.353124;0
9.74106;52.353128;0
9.741025;52.353128;0
9.740992;52.353123;0
9.740982;52.353121;0
9.7409;52.353218;0
9.741127;52.353282;0
9.740982;52.353476;0
9.741086;52.353505;0
9.740958;52.353671;0
9.740831;52.353836;0
9.740699;52.3538;0
9.740666;52.353841;0
9.740663;52.353845;0
9.740659;52.35385;0
9.740654;52.353855;0
9.74065;52.353859;0
9.740645;52.353863;0
9.74064;52.353867;0
9.740635;52.353871;0
9.74063;52.353874;0
9.740624;52.353877;0
9.740619;52.35388;0
9.740614;52.353883;0
9.740609;52.353885;0
9.740603;52.353887;0
9.740598;52.35389;0
9.740592;52.353892;0
9.740585;52.353894;0
9.740578;52.353896;0
9.740571;52.353898;0
9.740564;52.3539;0
9.740559;52.353901;0
9.740556;52.353901;0
9.740547;52.353903;0
9.740539;52.353904;0
9.740529;52.353905;0
9.740522;52.353905;0
9.740491;52.353906;0
9.740434;52.353909;0
9.740426;52.353909;0
9.74042;52.353909;0
9.740414;52.35391;0
9.740408;52.35391;0
9.740402;52.353911;0
9.740397;52.353912;0
9.740392;52.353914;0
9.740388;52.353915;0
9.740384;52.353916;0
9.74038;52.353918;0
9.740376;52.35392;0
9.740372;52.353922;0
9.740368;52.353924;0
9.740364;52.353927;0
9.74036;52.353929;0
9.740357;52.353933;0
9.740353;52.353936;0
9.74035;52.35394;0
9.740294;52.354009;0
9.740208;52.354123;0
9.740169;52.354175;0
9.740165;52.35418;0
9.740145;52.354207;0
9.740133;52.354222;0
9.740068;52.354306;0
9.739986;52.354414;0
9.739948;52.354463;0
9.739879;52.354556;0
9.739788;52.354677;0
9.739721;52.354767;0
9.739622;52.354894;0
9.739602;52.354922;0
9.739471;52.355094;0
9.739428;52.355151;0
9.739487;52.355171;0
9.739459;52.355206;0
9.739497;52.35526;0
9.739514;52.355294;0
9.739519;52.35534;0
9.739493;52.355388;0
9.739483;52.355406;0
9.739341;52.355652;0
9.739297;52.355688;0
9.739268;52.355758;0
9.739215;52.355889;0
9.739204;52.355916;0
9.739196;52.355935;0
9.739216;52.35602;0
9.739175;52.356134;0
9.739165;52.356163;0
9.739159;52.356245;0
9.739131;52.356359;0
9.739121;52.356489;0
9.739106;52.356638;0
9.739071;52.356759;0
9.739028;52.35691;0
9.738947;52.357112;0
9.738921;52.357177;0
9.738835;52.357308;0
9.738817;52.357324;0
9.738807;52.357333;0
9.738766;52.357369;0
9.738754;52.357431;0
9.738682;52.357484;0
9.738607;52.357582;0
9.738546;52.357705;0
9.738475;52.357806;0
9.738426;52.357861;0
9.738377;52.357916;0
9.738355;52.357941;0
9.738248;52.35805;0
9.738187;52.358095;0
9.738136;52.358133;0
9.738094;52.358164;0
9.738058;52.358182;0
9.737929;52.358246;0
9.737745;52.358321;0
9.737675;52.358347;0
9.737564;52.358388;0
9.737363;52.358446;0
9.737059;52.358531;0
9.736982;52.358561;0
9.736915;52.358585;0
9.736877;52.358604;0
9.736784;52.35865;0
9.736778;52.358653;0
9.736773;52.358656;0
9.736652;52.358729;0
9.736643;52.358734;0
9.73663;52.358745;0
9.736549;52.358813;0
9.736458;52.358906;0
9.736332;52.359122;0
9.736274;52.359303;0
9.73619;52.359566;0
9.736182;52.359592;0
9.736151;52.359676;0
9.736139;52.359711;0
9.736124;52.359752;0
9.736091;52.359811;0
9.736005;52.359965;0
9.735999;52.359974;0
9.735938;52.360067;0
9.735933;52.360074;0
9.735929;52.360079;0
9.735859;52.360153;0
9.735758;52.360247;0
9.73565;52.360347;0
9.735489;52.360541;0
9.735329;52.360748;0
9.735211;52.36091;0
9.735206;52.360917;0
9.735187;52.36095;0
9.735185;52.360971;0
9.735191;52.360994;0
9.735369;52.361044;0
9.735377;52.361036;0
9.735387;52.361029;0
9.7354;52.361023;0
9.735414;52.361019;0
9.73543;52.361017;0
9.735445;52.361017;0
9.735461;52.361019;0
9.735475;52.361022;0
9.735488;52.361028;0
9.735499;52.361035;0
9.735507;52.361043;0
9.735512;52.361053;0
9.735513;52.361062;0
9.735512;52.361072;0
9.735507;52.361081;0
9.7355;52.361089;0
9.735489;52.361097;0
9.735477;52.361102;0
9.735462;52.361106;0
9.735447;52.361108;0
9.735431;52.361109;0
9.735416;52.361107;0
9.735401;52.361103;0
9.735221;52.361343;0
9.735156;52.36143;0
9.735156;52.36145;0
9.735177;52.361471;0
9.736017;52.361715;0
9.736063;52.361728;0
9.736052;52.361742;0
9.735982;52.361837;0
9.735865;52.361986;0
9.735954;52.362011;0
9.735943;52.362024;0
9.738486;52.362753;0
9.738538;52.362688;0
