idx,geom
1,"POLYGON((9.737316406259351 52.362301553994804,9.73842892998024 52.36265256601151,9.738818313282552 52.362171339150464,9.739226238646877 52.36215435457726,9.739411659267025 52.36184863114312,9.738336219670165 52.362109062350136,9.737316406259351 52.362301553994804))"
2,"POLYGON((9.735286050468728 52.36089747804211,9.735517826243914 52.3610220349704,9.735517826243914 52.36089747804211,9.735350947685781 52.36080122926613,9.735286050468728 52.36089747804211))"
4,"POLYGON((9.746173439573353 52.34999865689779,9.746835198178779 52.35084276830671,9.745589534921505 52.35098543343129,9.746173439573353 52.34999865689779))"
5,"POLYGON((9.746173439573353 52.34999865689779,9.746835198178779 52.35084276830671,9.745589534921505 52.35098543343129,9.746173439573353 52.34999865689779))"
36,"POLYGON((9.751826085435367 52.345374133432166,9.750507424519588 52.34603346389006,9.750507424519588 52.34515435661287,9.750727201338885 52.34449502615499,9.751496420206422 52.34449502615499,9.751826085435367 52.34504446820323,9.751826085435367 52.345374133432166))"
37,"POLYGON((9.739848248783716 52.36009918032502,9.740287802422309 52.35856074258995,9.741057021289844 52.358450854180305,9.740068025603012 52.36009918032502,9.739848248783716 52.36009918032502))"
38,"POLYGON((9.746441553362606 52.34713234798654,9.746001999724013 52.34702245957689,9.745342669266124 52.345593910251466,9.745232780856476 52.34526424502252,9.745232780856476 52.34515435661287,9.745342669266124 52.34504446820323,9.746001999724013 52.34493457979357,9.746111888133662 52.34493457979357,9.7468811070012 52.34570379866111,9.7468811070012 52.34581368707076,9.746661330181903 52.34702245957689,9.746441553362606 52.34713234798654))"
39,"POLYGON((9.744024008350346 52.35218721483036,9.74556244608542 52.35372565256543,9.74501300403718 52.354824536661916,9.744243785169642 52.35559375552945,9.744133896759994 52.35559375552945,9.744024008350346 52.35218721483036))"
40,"POLYGON((9.73710103854251 52.36174750646975,9.736881261723214 52.36218706010834,9.73655159649427 52.362077171698694,9.735452712397787 52.361527729650454,9.735782377626732 52.36064862237327,9.736661484903918 52.35976951509608,9.736771373313566 52.35976951509608,9.73710103854251 52.3616376180601,9.73710103854251 52.36174750646975))"
41,"POLYGON((9.753913965218683 52.34427524933569,9.753694188399386 52.344604914564634,9.75347441158009 52.344604914564634,9.752375527483608 52.34449502615499,9.75226563907396 52.344385137745334,9.75226563907396 52.34427524933569,9.7528150811222 52.3436159188778,9.753364523170442 52.3436159188778,9.753694188399386 52.343835695697095,9.753913965218683 52.344055472516395,9.753913965218683 52.34427524933569))"
42,"POLYGON((9.74918876360381 52.3436159188778,9.74918876360381 52.34449502615499,9.748749209965217 52.344604914564634,9.748199767916976 52.344604914564634,9.747760214278385 52.34427524933569,9.747650325868737 52.34416536092604,9.747760214278385 52.343835695697095,9.748089879507328 52.3436159188778,9.748419544736272 52.34350603046815,9.748859098374865 52.34350603046815,9.74918876360381 52.3436159188778))"
43,"POLYGON((9.744903115627531 52.34801145526372,9.744903115627531 52.34713234798654,9.74501300403718 52.34713234798654,9.746771218591551 52.34889056254091,9.746661330181903 52.34965978140845,9.746551441772255 52.34965978140845,9.746111888133662 52.3493301161795,9.746001999724013 52.349220227769855,9.744903115627531 52.34801145526372))"
44,"POLYGON((9.743474566302105 52.35240699164965,9.742155905386326 52.355373978710155,9.740287802422309 52.355373978710155,9.740287802422309 52.35526409030051,9.741166909699492 52.35361576415578,9.741606463338085 52.35317621051719,9.74248557061527 52.3527366568786,9.743474566302105 52.35240699164965))"
45,"POLYGON((9.750177759290644 52.34823123208302,9.74973820565205 52.34790156685408,9.74973820565205 52.34757190162513,9.749848094061699 52.346912571167245,9.750507424519588 52.346143352299705,9.750617312929236 52.346143352299705,9.751826085435367 52.346692794347945,9.751826085435367 52.34702245957689,9.750177759290644 52.34823123208302))"
