path_id,lat,lon,date,idx
2,52.35292235134703,9.743692820219817,2023-10-23,2-2
2,52.35703752507855,9.73978752408318,2023-10-23,2-3
2,52.36196474491362,9.73609680465735,2023-10-23,2-4
4,52.349619529604894,9.747362136840822,2025-01-07,4-0
4,52.346945572058466,9.750967025756838,2025-01-07,4-1
4,52.345477448157666,9.750623703002931,2025-01-07,4-2
4,52.34526771219193,9.745988845825197,2025-01-07,4-3
5,52.35318588,9.74102266,2025-01-07,5-0
5,52.3433373,9.75001182,2025-01-07,5-1
5,52.34495794,9.74651078,2025-01-07,5-2
5,52.34514278,9.75307888,2025-01-07,5-3
6,52.34600789,9.75132736,2025-01-07,6-0
6,52.34703233,9.74786158,2025-01-07,6-1
6,52.34747625,9.74471999,2025-01-07,6-2
6,52.34928603,9.7491659,2025-01-07,6-3
7,52.34600789,9.75132736,2025-01-08,7-0
7,52.34703233,9.74786158,2025-01-08,7-1
7,52.34747625,9.74471999,2025-01-08,7-2
7,52.34928603,9.7491659,2025-01-08,7-3
8,52.35318588,9.74102266,2025-01-08,8-0
8,52.3433373,9.75001182,2025-01-08,8-1
8,52.34495794,9.74651078,2025-01-08,8-2
8,52.34514278,9.75307888,2025-01-08,8-3
9,52.34600789,9.75132736,2025-01-09,9-0
9,52.34703233,9.74786158,2025-01-09,9-1
9,52.34747625,9.74471999,2025-01-09,9-2
9,52.34928603,9.7491659,2025-01-09,9-3
2,52.36078540720192,9.739057963266449,2023-10-26,2-1
